Dependency Name,Repository,GitHub Star,GitHub Forks,GitHub Watchers,Abondoned,Code Coverage %,Linters,Dependenats,NPM Stars,Maintainers,Contributors,Dependencies,License,Total Issues,Open Issues,Security Advisories
mocha,https://github.com/mochajs/mocha,20919,2904,395,FALSE,0.94,3,6929,704,4,530,24,MIT,4732,264,0
chai,https://github.com/chaijs/chai,7421,674,127,FALSE,0.95,0,6230,317,2,4,6,MIT,1417,74,0
lodash,https://github.com/lodash/lodash,51471,6123,877,FALSE,0.33,0,102292,1520,3,2,0,MIT,5165,315,0
grunt,https://github.com/gruntjs/grunt,12128,1529,515,FALSE,,1,2147,692,4,5,15,MIT,1720,155,0
eslint,https://github.com/eslint/eslint,19564,3501,306,FALSE,0.69,2,13016,334,4,0,38,MIT,14848,112,0
gulp,https://github.com/gulpjs/gulp,32398,4402,1091,FALSE,1,2,7544,1425,2,2,4,MIT,2512,26,1
babel-preset-es2015,https://github.com/babel/babel,37268,4427,867,FALSE,0.91,3,5390,84,4,0,24,MIT,11879,789,0
request,https://github.com/request/request,25400,3100,444,FALSE,0.97,1,40898,1502,4,0,20,Apache-2.0,2213,86,0
async,https://github.com/caolan/async,27378,2414,689,FALSE,0.99,2,24376,1210,5,0,0,MIT,1767,10,0
istanbul,https://github.com/gotwarlost/istanbul,8477,816,133,FALSE,0.98,1,871,221,3,78,14,BSD-3-Clause,944,396,0
should,https://github.com/shouldjs/should.js,1904,135,44,FALSE,,3,980,132,3,0,5,MIT,187,11,0
express,https://github.com/expressjs/express,55100,1800,9300,FALSE,,0,45953,2577,3,7,30,MIT,3625,109,0
babel-core,https://github.com/babel/babel,38417,4693,855,FALSE,0.92,2,9877,150,4,0,19,MIT,12593,762,0
sinon,https://github.com/sinonjs/sinon,8800,784,98,FALSE,,0,1686,191,4,0,6,BSD-3-Clause,1271,39,0
babel-cli,https://github.com/babel/babel,37394,4455,866,FALSE,0.91,3,3107,92,4,0,15,MIT,11931,808,2
tape,https://github.com/substack/tape,5548,319,68,FALSE,0.96,2,870,153,4,0,19,MIT,568,41,0
grunt-contrib-jshint,https://github.com/gruntjs/grunt-contrib-jshint,715,203,25,FALSE,,1,479,108,6,20,3,MIT,305,22,0
underscore,https://github.com/jashkenas/underscore,26227,26227,5610,FALSE,,0,18179,574,3,0,0,MIT,,52,0
coffee-script,https://github.com/jashkenas/coffeescript,15949,2014,529,FALSE,,0,4791,333,4,0,0,MIT,5299,69,0
webpack,https://github.com/webpack/webpack,59842,8105,1554,FALSE,0.9,3,19377,557,2,0,24,MIT,14059,276,0
babel-eslint,https://github.com/babel/babel-eslint,2960,224,56,FALSE,,2,9143,75,12,0,6,MIT,834,4,0
browserify,https://github.com/browserify/browserify,13903,1218,300,FALSE,,0,2650,927,42,0,48,MIT,2008,373,0
chalk,https://github.com/chalk/chalk,17417,692,137,FALSE,1,2,66277,942,2,0,0,MIT,458,0,0
commander,https://github.com/tj/commander.js,21455,1533,242,FALSE,1,3,52162,1019,6,0,0,MIT,1626,9,0
react,https://github.com/facebook/react,178544,36180,6659,FALSE,0.86,3,57239,774,8,0,2,MIT,22583,906,0
babel-loader,https://github.com/babel/babel-loader,4549,431,81,FALSE,0.64,3,12999,120,5,0,4,MIT,896,67,0
coveralls,https://github.com/nickmerwin/node-coveralls,1034,237,16,FALSE,0.98,1,514,34,2,9,5,BSD-2-Clause,315,61,0
rimraf,https://github.com/isaacs/rimraf,4464,235,39,FALSE,0.73,0,12185,322,1,0,1,ISC,231,62,0
